Soru_No,Konu,Soru,Cevap,Sure_sn,Keyword_Hit_Rate,Precision_at_5,Recall_at_5,MRR,NDCG_at_5,BLEU,ROUGE_1,ROUGE_2,ROUGE_L,METEOR,R1_P,R1_R,TFIDF,Semantic
1,İrrigasyon & Dezenfeksiyon,What is the main purpose of EDTA in endodontics?,EDTA is used as a canal irrigant in endodontics due to its ability to effectively expose collagen fibers on dentin surfaces without adversely affecting them at a neutral pH. It's more beneficial than using acidic solutions due to minimizing damage to adjacent vital period,10.24,0.286,0.4,1.0,1.0,1.4306765580733931,0.022,0.129,0.067,0.129,0.189,0.089,0.235,0.067,0.774
2,İrrigasyon & Dezenfeksiyon,What are the primary objectives of using Sodium Hypochlorite (NaOCl) in endodontics?,"Sodium Hypochlorite (NaOCl) is used for its antibacterial and tissue-dissolving properties in endodontics. It helps eliminate root canal infection through a combination of mechanical and chemical methods. However, it's important to note that according to F",9.62,0.429,0.2,1.0,0.3333333333333333,0.5,0.007,0.185,0.0,0.148,0.137,0.132,0.312,0.135,0.667
3,İrrigasyon & Dezenfeksiyon,What are the properties of an ideal root canal irrigant?,"An ideal root canal irrigant should effectively kill microbes, be nonirritating, remain stable, have a prolonged antimicrobial effect, and not interfere with tissue repair. It should also not stain tooth structure, inactivate in a culture medium, or cause ad",9.08,0.286,0.4,1.0,1.0,1.3868528072345416,0.017,0.281,0.073,0.246,0.316,0.205,0.444,0.204,0.772
4,İrrigasyon & Dezenfeksiyon,How does ultrasonic irrigation enhance root canal disinfection?,"Ultrasonic irrigation effectively removes the smear layer, contributing to increased disinfection in root canals (as shown by some studies). However, its effectiveness can vary between different teeth types.

Keywords: Ultrasonic irrigation, Smear layer removal,",10.38,0.429,0.4,1.0,1.0,1.6309297535714575,0.014,0.208,0.043,0.167,0.233,0.147,0.357,0.133,0.762
5,İrrigasyon & Dezenfeksiyon,What is the role of chlorhexidine in root canal irrigation?,"Chlorhexidine can have a lower success rate when used as an additional irrigant due to its cytotoxicity and carcinogenicity, and it may cause persistent irritation and blockage of dentinal tubules. However, its additional use with EDTA can improve radiograph",9.93,0.333,0.0,0.0,0.0,0.0,0.091,0.316,0.182,0.316,0.409,0.231,0.5,0.26,0.713
6,İrrigasyon & Dezenfeksiyon,What is the smear layer and why should it be removed during root canal treatment?,"The smear layer is an organic debris coating the canal walls after instrumentation. Its removal increases bond strength and reduces microleakage by allowing sealer contact with the canal wall. However, there is no consensus on its removal due to conflicting advantages/disadvantages. Growing",9.37,0.75,0.4,1.0,1.0,1.6309297535714575,0.072,0.317,0.131,0.286,0.224,0.233,0.5,0.296,0.807
7,İrrigasyon & Dezenfeksiyon,What are the complications of sodium hypochlorite extrusion beyond the apex?,"Sudden severe pain and facial swelling are signs of bleach injuries caused by sodium hypochlorite extrusion, which can result in bacterial entrapment due to varying root canal shapes in the apical third. Delayed completion of further endodontic therapy is commonly",9.9,0.375,0.2,1.0,0.25,0.43067655807339306,0.016,0.281,0.073,0.175,0.327,0.2,0.471,0.17,0.695
8,İrrigasyon & Dezenfeksiyon,How does EDTA interact with NaOCl during root canal irrigation?,"EDTA increases cutting efficiency and reduces torque during root canal preparation when used with NaOCl as an irrigant solution. (Note: This question assumes the reader has background knowledge about EDTA and NaOCl.)

Keywords: EDTA, NaOCl, irrigation,",10.02,0.375,0.0,0.0,0.0,0.0,0.007,0.103,0.0,0.103,0.064,0.083,0.136,0.139,0.702
9,İrrigasyon & Dezenfeksiyon,What is passive ultrasonic irrigation and when is it used?,"Passive ultrasonic irrigation refers to the use of ultrasonic waves to remove the smear layer from inside the roots canals for 30 seconds after hand instrumentation. It results in significantly cleaner canals compared to hand filing alone. However, its effectiveness in removing",9.94,0.571,0.4,1.0,1.0,1.6309297535714575,0.025,0.3,0.069,0.267,0.221,0.214,0.5,0.181,0.797
10,İrrigasyon & Dezenfeksiyon,Why is saline used as an irrigant in root canal treatment?,"Saline is used as an irrigant in root canal treatment due to its ability to dissolve organic matter and maintain osmotic pressure inside the root canal system during shaping procedures. However, it may not be effective against bacterial endodontic infections compared to other irrigants",9.09,0.143,0.2,1.0,1.0,1.0,0.06,0.222,0.098,0.222,0.295,0.159,0.368,0.175,0.723
